2023-10-03T06:12:57.668198Z [warning  ] No state was found, complete import.
2023-10-03T06:12:58.211226Z [info     ] 2023-10-02 23:12:58,210 | WARNING  | tap-github           | The stream 'stargazers' might conflict with previous implementation. Looking for the older version? Use 'stargazers_rest'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T06:12:58.211632Z [info     ] 2023-10-02 23:12:58,211 | WARNING  | tap-github           | The stream 'stargazers_rest' is deprecated. Please use the Graphql version instead: 'stargazers'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T06:12:58.211856Z [info     ] 2023-10-02 23:12:58,211 | INFO     | tap-github           | Added 'anonymous_contributors' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T06:12:58.212053Z [info     ] 2023-10-02 23:12:58,211 | INFO     | tap-github           | Added 'assignees' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T06:12:58.212202Z [info     ] 2023-10-02 23:12:58,211 | INFO     | tap-github           | Added 'collaborators' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T06:12:58.212359Z [info     ] 2023-10-02 23:12:58,211 | INFO     | tap-github           | Added 'commit_comments' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T06:12:58.212512Z [info     ] 2023-10-02 23:12:58,211 | INFO     | tap-github           | Added 'commits' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T06:12:58.212710Z [info     ] 2023-10-02 23:12:58,212 | INFO     | tap-github           | Added 'community_profile' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T06:12:58.212840Z [info     ] 2023-10-02 23:12:58,212 | INFO     | tap-github           | Added 'contributors' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T06:12:58.212961Z [info     ] 2023-10-02 23:12:58,212 | INFO     | tap-github           | Added 'dependencies' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T06:12:58.213095Z [info     ] 2023-10-02 23:12:58,212 | INFO     | tap-github           | Added 'dependents' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T06:12:58.213363Z [info     ] 2023-10-02 23:12:58,212 | INFO     | tap-github           | Added 'events' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T06:12:58.213538Z [info     ] 2023-10-02 23:12:58,212 | INFO     | tap-github           | Added 'issue_comments' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T06:12:58.213673Z [info     ] 2023-10-02 23:12:58,212 | INFO     | tap-github           | Added 'issue_events' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T06:12:58.213805Z [info     ] 2023-10-02 23:12:58,212 | INFO     | tap-github           | Added 'issues' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T06:12:58.213935Z [info     ] 2023-10-02 23:12:58,212 | INFO     | tap-github           | Added 'labels' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T06:12:58.214078Z [info     ] 2023-10-02 23:12:58,212 | INFO     | tap-github           | Added 'languages' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T06:12:58.214211Z [info     ] 2023-10-02 23:12:58,212 | INFO     | tap-github           | Added 'milestones' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
