2023-10-03T23:19:36.835411Z [info     ] Performing full refresh, ignoring state left behind by any previous runs.
2023-10-03T23:19:38.014987Z [info     ] 2023-10-03 16:19:38,014 | WARNING  | tap-github           | The stream 'stargazers' might conflict with previous implementation. Looking for the older version? Use 'stargazers_rest'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:19:38.015417Z [info     ] 2023-10-03 16:19:38,014 | WARNING  | tap-github           | The stream 'stargazers_rest' is deprecated. Please use the Graphql version instead: 'stargazers'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:19:38.016834Z [info     ] 2023-10-03 16:19:38,016 | INFO     | tap-github           | Added 'anonymous_contributors' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:19:38.017085Z [info     ] 2023-10-03 16:19:38,016 | INFO     | tap-github           | Added 'assignees' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:19:38.017292Z [info     ] 2023-10-03 16:19:38,016 | INFO     | tap-github           | Added 'collaborators' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:19:38.017453Z [info     ] 2023-10-03 16:19:38,016 | INFO     | tap-github           | Added 'commit_comments' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:19:38.017615Z [info     ] 2023-10-03 16:19:38,016 | INFO     | tap-github           | Added 'commits' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:19:38.017766Z [info     ] 2023-10-03 16:19:38,016 | INFO     | tap-github           | Added 'community_profile' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:19:38.017934Z [info     ] 2023-10-03 16:19:38,016 | INFO     | tap-github           | Added 'contributors' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:19:38.018126Z [info     ] 2023-10-03 16:19:38,017 | INFO     | tap-github           | Added 'dependencies' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:19:38.018333Z [info     ] 2023-10-03 16:19:38,017 | INFO     | tap-github           | Added 'dependents' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:19:38.018550Z [info     ] 2023-10-03 16:19:38,017 | INFO     | tap-github           | Added 'events' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:19:38.018786Z [info     ] 2023-10-03 16:19:38,017 | INFO     | tap-github           | Added 'issue_comments' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:19:38.018932Z [info     ] 2023-10-03 16:19:38,017 | INFO     | tap-github           | Added 'issue_events' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:19:38.019067Z [info     ] 2023-10-03 16:19:38,017 | INFO     | tap-github           | Added 'issues' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:19:38.019201Z [info     ] 2023-10-03 16:19:38,017 | INFO     | tap-github           | Added 'labels' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:19:38.019348Z [info     ] 2023-10-03 16:19:38,017 | INFO     | tap-github           | Added 'languages' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
