2023-10-11T00:19:54.531992Z [info     ] 2023-10-10 17:19:54,531 | WARNING  | tap-github           | The stream 'stargazers' might conflict with previous implementation. Looking for the older version? Use 'stargazers_rest'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.532531Z [info     ] 2023-10-10 17:19:54,531 | WARNING  | tap-github           | The stream 'stargazers_rest' is deprecated. Please use the Graphql version instead: 'stargazers'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.532914Z [info     ] 2023-10-10 17:19:54,532 | INFO     | tap-github           | Added 'anonymous_contributors' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.533168Z [info     ] 2023-10-10 17:19:54,532 | INFO     | tap-github           | Added 'assignees' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.533409Z [info     ] 2023-10-10 17:19:54,532 | INFO     | tap-github           | Added 'collaborators' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.533597Z [info     ] 2023-10-10 17:19:54,532 | INFO     | tap-github           | Added 'commit_comments' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.533813Z [info     ] 2023-10-10 17:19:54,532 | INFO     | tap-github           | Added 'commits' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.533999Z [info     ] 2023-10-10 17:19:54,533 | INFO     | tap-github           | Added 'community_profile' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.534265Z [info     ] 2023-10-10 17:19:54,533 | INFO     | tap-github           | Added 'contributors' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.534704Z [info     ] 2023-10-10 17:19:54,533 | INFO     | tap-github           | Added 'dependencies' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.534894Z [info     ] 2023-10-10 17:19:54,533 | INFO     | tap-github           | Added 'dependents' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.535066Z [info     ] 2023-10-10 17:19:54,533 | INFO     | tap-github           | Added 'events' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.535234Z [info     ] 2023-10-10 17:19:54,533 | INFO     | tap-github           | Added 'issue_comments' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.535400Z [info     ] 2023-10-10 17:19:54,533 | INFO     | tap-github           | Added 'issue_events' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.535745Z [info     ] 2023-10-10 17:19:54,533 | INFO     | tap-github           | Added 'issues' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.535880Z [info     ] 2023-10-10 17:19:54,533 | INFO     | tap-github           | Added 'labels' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.536018Z [info     ] 2023-10-10 17:19:54,533 | INFO     | tap-github           | Added 'languages' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.536237Z [info     ] 2023-10-10 17:19:54,533 | INFO     | tap-github           | Added 'milestones' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.536387Z [info     ] 2023-10-10 17:19:54,533 | INFO     | tap-github           | Added 'project_cards' as child stream to 'project_columns' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.536540Z [info     ] 2023-10-10 17:19:54,533 | INFO     | tap-github           | Added 'project_columns' as child stream to 'projects' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.536657Z [info     ] 2023-10-10 17:19:54,533 | INFO     | tap-github           | Added 'projects' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.536783Z [info     ] 2023-10-10 17:19:54,533 | INFO     | tap-github           | Added 'pull_request_commits' as child stream to 'pull_requests' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.536910Z [info     ] 2023-10-10 17:19:54,533 | INFO     | tap-github           | Added 'pull_requests' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.537034Z [info     ] 2023-10-10 17:19:54,533 | INFO     | tap-github           | Added 'readme_html' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.537210Z [info     ] 2023-10-10 17:19:54,533 | INFO     | tap-github           | Added 'readme' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.537474Z [info     ] 2023-10-10 17:19:54,533 | INFO     | tap-github           | Added 'releases' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.537698Z [info     ] 2023-10-10 17:19:54,534 | INFO     | tap-github           | Added 'extra_metrics' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.537864Z [info     ] 2023-10-10 17:19:54,534 | INFO     | tap-github           | Added 'review_comments' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.538009Z [info     ] 2023-10-10 17:19:54,534 | INFO     | tap-github           | Added 'reviews' as child stream to 'pull_requests' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.538168Z [info     ] 2023-10-10 17:19:54,534 | INFO     | tap-github           | Added 'stargazers' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.538285Z [info     ] 2023-10-10 17:19:54,534 | INFO     | tap-github           | Added 'stargazers_rest' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:19:54.538396Z [info     ] 2023-10-10 17:19:54,534 | INFO     | tap-github           | Added 'stats_contributors' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
