2023-10-11T00:00:34.012884Z [info     ] Performing full refresh, ignoring state left behind by any previous runs.
2023-10-11T00:00:34.562537Z [info     ] 2023-10-10 17:00:34,562 | WARNING  | tap-github           | The stream 'stargazers' might conflict with previous implementation. Looking for the older version? Use 'stargazers_rest'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.563317Z [info     ] 2023-10-10 17:00:34,563 | WARNING  | tap-github           | The stream 'stargazers_rest' is deprecated. Please use the Graphql version instead: 'stargazers'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.564049Z [info     ] 2023-10-10 17:00:34,563 | INFO     | tap-github           | Added 'anonymous_contributors' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.564283Z [info     ] 2023-10-10 17:00:34,563 | INFO     | tap-github           | Added 'assignees' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.564498Z [info     ] 2023-10-10 17:00:34,564 | INFO     | tap-github           | Added 'collaborators' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.564638Z [info     ] 2023-10-10 17:00:34,564 | INFO     | tap-github           | Added 'commit_comments' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.564784Z [info     ] 2023-10-10 17:00:34,564 | INFO     | tap-github           | Added 'commits' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.564928Z [info     ] 2023-10-10 17:00:34,564 | INFO     | tap-github           | Added 'community_profile' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.565070Z [info     ] 2023-10-10 17:00:34,564 | INFO     | tap-github           | Added 'contributors' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.565211Z [info     ] 2023-10-10 17:00:34,564 | INFO     | tap-github           | Added 'dependencies' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.565349Z [info     ] 2023-10-10 17:00:34,564 | INFO     | tap-github           | Added 'dependents' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.565467Z [info     ] 2023-10-10 17:00:34,564 | INFO     | tap-github           | Added 'events' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.565622Z [info     ] 2023-10-10 17:00:34,564 | INFO     | tap-github           | Added 'issue_comments' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.565742Z [info     ] 2023-10-10 17:00:34,564 | INFO     | tap-github           | Added 'issue_events' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.565876Z [info     ] 2023-10-10 17:00:34,564 | INFO     | tap-github           | Added 'issues' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.566011Z [info     ] 2023-10-10 17:00:34,564 | INFO     | tap-github           | Added 'labels' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.566134Z [info     ] 2023-10-10 17:00:34,564 | INFO     | tap-github           | Added 'languages' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.566262Z [info     ] 2023-10-10 17:00:34,564 | INFO     | tap-github           | Added 'milestones' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.566375Z [info     ] 2023-10-10 17:00:34,564 | INFO     | tap-github           | Added 'project_cards' as child stream to 'project_columns' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.566486Z [info     ] 2023-10-10 17:00:34,564 | INFO     | tap-github           | Added 'project_columns' as child stream to 'projects' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.566598Z [info     ] 2023-10-10 17:00:34,564 | INFO     | tap-github           | Added 'projects' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.566710Z [info     ] 2023-10-10 17:00:34,564 | INFO     | tap-github           | Added 'pull_request_commits' as child stream to 'pull_requests' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.566848Z [info     ] 2023-10-10 17:00:34,564 | INFO     | tap-github           | Added 'pull_requests' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.566989Z [info     ] 2023-10-10 17:00:34,564 | INFO     | tap-github           | Added 'readme_html' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.567128Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'readme' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.567237Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'releases' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.567346Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'extra_metrics' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.567456Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'review_comments' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.567565Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'reviews' as child stream to 'pull_requests' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.567674Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'stargazers' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.567782Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'stargazers_rest' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.567891Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'stats_contributors' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.568000Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'traffic_clones' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.568119Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'traffic_pageviews' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.568230Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'traffic_referral_paths' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.568341Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'traffic_referrers' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.568450Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'workflow_run_jobs' as child stream to 'workflow_runs' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.568611Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'workflow_runs' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.568732Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'workflows' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.568846Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'team_members' as child stream to 'teams' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.568958Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'team_roles' as child stream to 'team_members' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.569083Z [info     ] 2023-10-10 17:00:34,565 | INFO     | tap-github           | Added 'teams' as child stream to 'organizations' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.569198Z [info     ] 2023-10-10 17:00:34,566 | WARNING  | tap-github           | Stream descendent 'commits' is selected and its parent 'repositories' does not use inclusive replication keys. Forcing full table replication for 'repositories'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.569339Z [info     ] 2023-10-10 17:00:34,568 | INFO     | tap-github           | Skipping deselected stream 'anonymous_contributors'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.569456Z [info     ] 2023-10-10 17:00:34,568 | INFO     | tap-github           | Skipping deselected stream 'assignees'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-11T00:00:34.569571Z [info     ] 2023-10-10 17:00:34,568 | INFO     | tap-github           | Skipping deselected stream 'collaborators'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
