2023-10-03T17:41:44.027838Z [info     ] Performing full refresh, ignoring state left behind by any previous runs.
2023-10-03T17:41:44.676516Z [info     ] 2023-10-03 10:41:44,676 | WARNING  | tap-github           | The stream 'stargazers' might conflict with previous implementation. Looking for the older version? Use 'stargazers_rest'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:41:44.676798Z [info     ] 2023-10-03 10:41:44,676 | WARNING  | tap-github           | The stream 'stargazers_rest' is deprecated. Please use the Graphql version instead: 'stargazers'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:41:44.676982Z [info     ] 2023-10-03 10:41:44,676 | INFO     | tap-github           | Added 'anonymous_contributors' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:41:44.677154Z [info     ] 2023-10-03 10:41:44,676 | INFO     | tap-github           | Added 'assignees' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:41:44.677294Z [info     ] 2023-10-03 10:41:44,677 | INFO     | tap-github           | Added 'collaborators' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:41:44.677411Z [info     ] 2023-10-03 10:41:44,677 | INFO     | tap-github           | Added 'commit_comments' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:41:44.677525Z [info     ] 2023-10-03 10:41:44,677 | INFO     | tap-github           | Added 'commits' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:41:44.677689Z [info     ] 2023-10-03 10:41:44,677 | INFO     | tap-github           | Added 'community_profile' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:41:44.677810Z [info     ] 2023-10-03 10:41:44,677 | INFO     | tap-github           | Added 'contributors' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:41:44.677923Z [info     ] 2023-10-03 10:41:44,677 | INFO     | tap-github           | Added 'dependencies' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:41:44.678033Z [info     ] 2023-10-03 10:41:44,677 | INFO     | tap-github           | Added 'dependents' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:41:44.678142Z [info     ] 2023-10-03 10:41:44,677 | INFO     | tap-github           | Added 'events' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:41:44.678282Z [info     ] 2023-10-03 10:41:44,677 | INFO     | tap-github           | Added 'issue_comments' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:41:44.678445Z [info     ] 2023-10-03 10:41:44,677 | INFO     | tap-github           | Added 'issue_events' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:41:44.678621Z [info     ] 2023-10-03 10:41:44,677 | INFO     | tap-github           | Added 'issues' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:41:44.678797Z [info     ] 2023-10-03 10:41:44,677 | INFO     | tap-github           | Added 'labels' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:41:44.678993Z [info     ] 2023-10-03 10:41:44,677 | INFO     | tap-github           | Added 'languages' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:41:44.679185Z [info     ] 2023-10-03 10:41:44,677 | INFO     | tap-github           | Added 'milestones' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:41:44.679366Z [info     ] 2023-10-03 10:41:44,677 | INFO     | tap-github           | Added 'project_cards' as child stream to 'project_columns' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:41:44.679575Z [info     ] 2023-10-03 10:41:44,677 | INFO     | tap-github           | Added 'project_columns' as child stream to 'projects' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:41:44.679860Z [info     ] 2023-10-03 10:41:44,677 | INFO     | tap-github           | Added 'projects' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:41:44.680051Z [info     ] 2023-10-03 10:41:44,677 | INFO     | tap-github           | Added 'pull_request_commits' as child stream to 'pull_requests' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:41:44.680193Z [info     ] 2023-10-03 10:41:44,677 | INFO     | tap-github           | Added 'pull_requests' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:41:44.680310Z [info     ] 2023-10-03 10:41:44,677 | INFO     | tap-github           | Added 'readme_html' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:41:44.680424Z [info     ] 2023-10-03 10:41:44,677 | INFO     | tap-github           | Added 'readme' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:41:44.680554Z [info     ] 2023-10-03 10:41:44,677 | INFO     | tap-github           | Added 'releases' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:41:44.680692Z [info     ] 2023-10-03 10:41:44,677 | INFO     | tap-github           | Added 'extra_metrics' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:41:44.680803Z [info     ] 2023-10-03 10:41:44,677 | INFO     | tap-github           | Added 'review_comments' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:41:44.680922Z [info     ] 2023-10-03 10:41:44,677 | INFO     | tap-github           | Added 'reviews' as child stream to 'pull_requests' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
