2023-10-03T23:21:24.881151Z [info     ] Performing full refresh, ignoring state left behind by any previous runs.
2023-10-03T23:21:26.101561Z [info     ] 2023-10-03 16:21:26,101 | WARNING  | tap-github           | The stream 'stargazers' might conflict with previous implementation. Looking for the older version? Use 'stargazers_rest'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:21:26.102028Z [info     ] 2023-10-03 16:21:26,101 | WARNING  | tap-github           | The stream 'stargazers_rest' is deprecated. Please use the Graphql version instead: 'stargazers'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:21:26.103101Z [info     ] 2023-10-03 16:21:26,102 | INFO     | tap-github           | Added 'anonymous_contributors' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:21:26.103510Z [info     ] 2023-10-03 16:21:26,103 | INFO     | tap-github           | Added 'assignees' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:21:26.103875Z [info     ] 2023-10-03 16:21:26,103 | INFO     | tap-github           | Added 'collaborators' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:21:26.104208Z [info     ] 2023-10-03 16:21:26,103 | INFO     | tap-github           | Added 'commit_comments' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:21:26.104546Z [info     ] 2023-10-03 16:21:26,103 | INFO     | tap-github           | Added 'commits' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:21:26.104856Z [info     ] 2023-10-03 16:21:26,103 | INFO     | tap-github           | Added 'community_profile' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:21:26.105148Z [info     ] 2023-10-03 16:21:26,103 | INFO     | tap-github           | Added 'contributors' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:21:26.105427Z [info     ] 2023-10-03 16:21:26,103 | INFO     | tap-github           | Added 'dependencies' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:21:26.105705Z [info     ] 2023-10-03 16:21:26,103 | INFO     | tap-github           | Added 'dependents' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:21:26.106027Z [info     ] 2023-10-03 16:21:26,103 | INFO     | tap-github           | Added 'events' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:21:26.106342Z [info     ] 2023-10-03 16:21:26,103 | INFO     | tap-github           | Added 'issue_comments' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:21:26.106607Z [info     ] 2023-10-03 16:21:26,103 | INFO     | tap-github           | Added 'issue_events' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:21:26.106871Z [info     ] 2023-10-03 16:21:26,103 | INFO     | tap-github           | Added 'issues' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:21:26.107117Z [info     ] 2023-10-03 16:21:26,103 | INFO     | tap-github           | Added 'labels' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:21:26.107385Z [info     ] 2023-10-03 16:21:26,103 | INFO     | tap-github           | Added 'languages' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T23:21:26.107660Z [info     ] 2023-10-03 16:21:26,103 | INFO     | tap-github           | Added 'milestones' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
