2023-10-03T17:56:12.428087Z [info     ] Performing full refresh, ignoring state left behind by any previous runs.
2023-10-03T17:56:12.964624Z [info     ] 2023-10-03 10:56:12,964 | WARNING  | tap-github           | The stream 'stargazers' might conflict with previous implementation. Looking for the older version? Use 'stargazers_rest'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:56:12.965076Z [info     ] 2023-10-03 10:56:12,964 | WARNING  | tap-github           | The stream 'stargazers_rest' is deprecated. Please use the Graphql version instead: 'stargazers'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:56:12.965353Z [info     ] 2023-10-03 10:56:12,965 | INFO     | tap-github           | Added 'anonymous_contributors' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:56:12.965612Z [info     ] 2023-10-03 10:56:12,965 | INFO     | tap-github           | Added 'assignees' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:56:12.965853Z [info     ] 2023-10-03 10:56:12,965 | INFO     | tap-github           | Added 'collaborators' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:56:12.966042Z [info     ] 2023-10-03 10:56:12,965 | INFO     | tap-github           | Added 'commit_comments' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:56:12.966237Z [info     ] 2023-10-03 10:56:12,965 | INFO     | tap-github           | Added 'commits' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:56:12.966421Z [info     ] 2023-10-03 10:56:12,965 | INFO     | tap-github           | Added 'community_profile' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:56:12.966609Z [info     ] 2023-10-03 10:56:12,965 | INFO     | tap-github           | Added 'contributors' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:56:12.966823Z [info     ] 2023-10-03 10:56:12,965 | INFO     | tap-github           | Added 'dependencies' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:56:12.966988Z [info     ] 2023-10-03 10:56:12,965 | INFO     | tap-github           | Added 'dependents' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:56:12.967148Z [info     ] 2023-10-03 10:56:12,965 | INFO     | tap-github           | Added 'events' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
