2023-10-03T17:32:18.401658Z [warning  ] No state was found, complete import.
2023-10-03T17:32:18.986200Z [info     ] 2023-10-03 10:32:18,985 | WARNING  | tap-github           | The stream 'stargazers' might conflict with previous implementation. Looking for the older version? Use 'stargazers_rest'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.986560Z [info     ] 2023-10-03 10:32:18,986 | WARNING  | tap-github           | The stream 'stargazers_rest' is deprecated. Please use the Graphql version instead: 'stargazers'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.986785Z [info     ] 2023-10-03 10:32:18,986 | INFO     | tap-github           | Added 'anonymous_contributors' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.986996Z [info     ] 2023-10-03 10:32:18,986 | INFO     | tap-github           | Added 'assignees' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.987202Z [info     ] 2023-10-03 10:32:18,986 | INFO     | tap-github           | Added 'collaborators' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.987391Z [info     ] 2023-10-03 10:32:18,986 | INFO     | tap-github           | Added 'commit_comments' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.987534Z [info     ] 2023-10-03 10:32:18,986 | INFO     | tap-github           | Added 'commits' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.987658Z [info     ] 2023-10-03 10:32:18,986 | INFO     | tap-github           | Added 'community_profile' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.987859Z [info     ] 2023-10-03 10:32:18,986 | INFO     | tap-github           | Added 'contributors' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.988013Z [info     ] 2023-10-03 10:32:18,987 | INFO     | tap-github           | Added 'dependencies' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.988280Z [info     ] 2023-10-03 10:32:18,987 | INFO     | tap-github           | Added 'dependents' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.988430Z [info     ] 2023-10-03 10:32:18,987 | INFO     | tap-github           | Added 'events' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.988574Z [info     ] 2023-10-03 10:32:18,987 | INFO     | tap-github           | Added 'issue_comments' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.988715Z [info     ] 2023-10-03 10:32:18,987 | INFO     | tap-github           | Added 'issue_events' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.988857Z [info     ] 2023-10-03 10:32:18,987 | INFO     | tap-github           | Added 'issues' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.988991Z [info     ] 2023-10-03 10:32:18,987 | INFO     | tap-github           | Added 'labels' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.989127Z [info     ] 2023-10-03 10:32:18,987 | INFO     | tap-github           | Added 'languages' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.989240Z [info     ] 2023-10-03 10:32:18,987 | INFO     | tap-github           | Added 'milestones' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.989349Z [info     ] 2023-10-03 10:32:18,987 | INFO     | tap-github           | Added 'project_cards' as child stream to 'project_columns' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.989459Z [info     ] 2023-10-03 10:32:18,987 | INFO     | tap-github           | Added 'project_columns' as child stream to 'projects' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.989567Z [info     ] 2023-10-03 10:32:18,987 | INFO     | tap-github           | Added 'projects' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.989695Z [info     ] 2023-10-03 10:32:18,987 | INFO     | tap-github           | Added 'pull_request_commits' as child stream to 'pull_requests' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.989828Z [info     ] 2023-10-03 10:32:18,987 | INFO     | tap-github           | Added 'pull_requests' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.989966Z [info     ] 2023-10-03 10:32:18,987 | INFO     | tap-github           | Added 'readme_html' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.990125Z [info     ] 2023-10-03 10:32:18,987 | INFO     | tap-github           | Added 'readme' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.990269Z [info     ] 2023-10-03 10:32:18,987 | INFO     | tap-github           | Added 'releases' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.990405Z [info     ] 2023-10-03 10:32:18,987 | INFO     | tap-github           | Added 'extra_metrics' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.990527Z [info     ] 2023-10-03 10:32:18,987 | INFO     | tap-github           | Added 'review_comments' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.990635Z [info     ] 2023-10-03 10:32:18,988 | INFO     | tap-github           | Added 'reviews' as child stream to 'pull_requests' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.990744Z [info     ] 2023-10-03 10:32:18,988 | INFO     | tap-github           | Added 'stargazers' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.990851Z [info     ] 2023-10-03 10:32:18,988 | INFO     | tap-github           | Added 'stargazers_rest' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.990959Z [info     ] 2023-10-03 10:32:18,988 | INFO     | tap-github           | Added 'stats_contributors' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.991068Z [info     ] 2023-10-03 10:32:18,988 | INFO     | tap-github           | Added 'traffic_clones' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.991184Z [info     ] 2023-10-03 10:32:18,988 | INFO     | tap-github           | Added 'traffic_pageviews' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.991294Z [info     ] 2023-10-03 10:32:18,988 | INFO     | tap-github           | Added 'traffic_referral_paths' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.991403Z [info     ] 2023-10-03 10:32:18,988 | INFO     | tap-github           | Added 'traffic_referrers' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.991510Z [info     ] 2023-10-03 10:32:18,988 | INFO     | tap-github           | Added 'workflow_run_jobs' as child stream to 'workflow_runs' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.991619Z [info     ] 2023-10-03 10:32:18,988 | INFO     | tap-github           | Added 'workflow_runs' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.991738Z [info     ] 2023-10-03 10:32:18,988 | INFO     | tap-github           | Added 'workflows' as child stream to 'repositories' cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.991898Z [info     ] 2023-10-03 10:32:18,989 | WARNING  | tap-github           | Stream descendent 'commits' is selected and its parent 'repositories' does not use inclusive replication keys. Forcing full table replication for 'repositories'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.992120Z [info     ] 2023-10-03 10:32:18,991 | INFO     | tap-github           | Skipping deselected stream 'anonymous_contributors'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.992276Z [info     ] 2023-10-03 10:32:18,991 | INFO     | tap-github           | Skipping deselected stream 'assignees'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.992420Z [info     ] 2023-10-03 10:32:18,991 | INFO     | tap-github           | Skipping deselected stream 'collaborators'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.992557Z [info     ] 2023-10-03 10:32:18,991 | INFO     | tap-github           | Skipping deselected stream 'commit_comments'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.992692Z [info     ] 2023-10-03 10:32:18,991 | INFO     | tap-github           | Skipping deselected stream 'community_profile'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.992827Z [info     ] 2023-10-03 10:32:18,991 | INFO     | tap-github           | Skipping deselected stream 'contributors'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.992946Z [info     ] 2023-10-03 10:32:18,991 | INFO     | tap-github           | Skipping deselected stream 'dependencies'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.993056Z [info     ] 2023-10-03 10:32:18,991 | INFO     | tap-github           | Skipping deselected stream 'dependents'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.993164Z [info     ] 2023-10-03 10:32:18,991 | INFO     | tap-github           | Skipping deselected stream 'events'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.993280Z [info     ] 2023-10-03 10:32:18,991 | INFO     | tap-github           | Skipping deselected stream 'extra_metrics'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.993390Z [info     ] 2023-10-03 10:32:18,991 | INFO     | tap-github           | Skipping deselected stream 'issue_comments'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.993501Z [info     ] 2023-10-03 10:32:18,991 | INFO     | tap-github           | Skipping deselected stream 'issue_events'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.993610Z [info     ] 2023-10-03 10:32:18,991 | INFO     | tap-github           | Skipping deselected stream 'issues'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.993719Z [info     ] 2023-10-03 10:32:18,991 | INFO     | tap-github           | Skipping deselected stream 'labels'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.993828Z [info     ] 2023-10-03 10:32:18,991 | INFO     | tap-github           | Skipping deselected stream 'languages'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.993938Z [info     ] 2023-10-03 10:32:18,992 | INFO     | tap-github           | Skipping deselected stream 'milestones'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.994097Z [info     ] 2023-10-03 10:32:18,992 | INFO     | tap-github           | Skipping deselected stream 'project_cards'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.994229Z [info     ] 2023-10-03 10:32:18,992 | INFO     | tap-github           | Skipping deselected stream 'project_columns'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.994350Z [info     ] 2023-10-03 10:32:18,992 | INFO     | tap-github           | Skipping deselected stream 'projects'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.994458Z [info     ] 2023-10-03 10:32:18,992 | INFO     | tap-github           | Skipping deselected stream 'pull_request_commits'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.994565Z [info     ] 2023-10-03 10:32:18,992 | INFO     | tap-github           | Skipping deselected stream 'pull_requests'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.994674Z [info     ] 2023-10-03 10:32:18,992 | INFO     | tap-github           | Skipping deselected stream 'readme'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.994781Z [info     ] 2023-10-03 10:32:18,992 | INFO     | tap-github           | Skipping deselected stream 'readme_html'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.994889Z [info     ] 2023-10-03 10:32:18,992 | INFO     | tap-github           | Skipping deselected stream 'releases'. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.994997Z [info     ] 2023-10-03 10:32:18,992 | INFO     | tap-github           | Beginning full_table sync of 'repositories'... cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:18.995106Z [info     ] 2023-10-03 10:32:18,992 | INFO     | tap-github           | Filtering repository list of 1 repositories cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:19.131072Z [info     ] 2023-10-03 10:32:19,130 | INFO     | target-postgres      | Target 'target-postgres' is listening for input from tap. cmd_type=elb consumer=True name=target-postgres producer=False stdio=stderr string_id=target-postgres
2023-10-03T17:32:19.333778Z [info     ] 2023-10-03 10:32:19,333 | INFO     | tap-github           | Tap will run with 1 auth tokens cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:19.770748Z [info     ] 2023-10-03 10:32:19,769 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "http_request_duration", "value": 0.43147, "tags": {"stream": "tempStream", "endpoint": "", "http_status_code": 200, "status": "succeeded"}} cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:19.837797Z [info     ] 2023-10-03 10:32:19,837 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "http_request_count", "value": 1, "tags": {"stream": "tempStream", "endpoint": "", "context": {}}} cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:19.838202Z [info     ] 2023-10-03 10:32:19,837 | INFO     | tap-github           | Running the tap on 1 repositories cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:19.839284Z [info     ] 2023-10-03 10:32:19,838 | INFO     | tap-github           | Running the tap on 1 repositories cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:20.230450Z [info     ] 2023-10-03 10:32:20,229 | INFO     | tap-github           | Tap will run with 1 auth tokens cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:20.879082Z [info     ] 2023-10-03 10:32:20,878 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "http_request_duration", "value": 0.642864, "tags": {"stream": "repositories", "endpoint": "/repos/{org}/{repo}", "http_status_code": 200, "status": "succeeded", "context": {"org": "CorrelAid", "repo": "correlaid_website", "repo_id": 579987199}}} cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:20.880154Z [info     ] 2023-10-03 10:32:20,879 | INFO     | tap-github           | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:20.880783Z [info     ] 2023-10-03 10:32:20,879 | INFO     | tap-github           | Beginning incremental sync of 'commits' with context: {'org': 'CorrelAid', 'repo': 'correlaid_website', 'repo_id': 579987199}... cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:20.881437Z [info     ] 2023-10-03 10:32:20,879 | INFO     | tap-github           | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:20.882993Z [info     ] 2023-10-03 10:32:20,882 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True name=target-postgres producer=False stdio=stderr string_id=target-postgres
2023-10-03T17:32:20.884237Z [info     ] 2023-10-03 10:32:20,883 | INFO     | target-postgres      | Initializing target sink for stream 'commits'... cmd_type=elb consumer=True name=target-postgres producer=False stdio=stderr string_id=target-postgres
2023-10-03T17:32:21.226128Z [info     ] 2023-10-03 10:32:21,225 | INFO     | tap-github           | Tap will run with 1 auth tokens cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:22.098475Z [info     ] 2023-10-03 10:32:22,098 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "http_request_duration", "value": 0.699062, "tags": {"stream": "commits", "endpoint": "/repos/{org}/{repo}/commits", "http_status_code": 200, "status": "succeeded", "context": {"org": "CorrelAid", "repo": "correlaid_website", "repo_id": 579987199}}} cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:22.101292Z [info     ] 2023-10-03 10:32:22,101 | WARNING  | tap-github           | Properties ('comments_url', 'parents') were present in the 'commits' stream but not found in catalog schema. Ignoring. cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:22.478135Z [info     ] 2023-10-03 10:32:22,477 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "http_request_duration", "value": 0.359182, "tags": {"stream": "commits", "endpoint": "/repos/{org}/{repo}/commits", "http_status_code": 200, "status": "succeeded", "context": {"org": "CorrelAid", "repo": "correlaid_website", "repo_id": 579987199}}} cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:22.988396Z [info     ] 2023-10-03 10:32:22,987 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "http_request_duration", "value": 0.466612, "tags": {"stream": "commits", "endpoint": "/repos/{org}/{repo}/commits", "http_status_code": 200, "status": "succeeded", "context": {"org": "CorrelAid", "repo": "correlaid_website", "repo_id": 579987199}}} cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:23.582772Z [info     ] 2023-10-03 10:32:23,582 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "http_request_duration", "value": 0.557369, "tags": {"stream": "commits", "endpoint": "/repos/{org}/{repo}/commits", "http_status_code": 200, "status": "succeeded", "context": {"org": "CorrelAid", "repo": "correlaid_website", "repo_id": 579987199}}} cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:23.986876Z [info     ] 2023-10-03 10:32:23,986 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "http_request_duration", "value": 0.386133, "tags": {"stream": "commits", "endpoint": "/repos/{org}/{repo}/commits", "http_status_code": 200, "status": "succeeded", "context": {"org": "CorrelAid", "repo": "correlaid_website", "repo_id": 579987199}}} cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:24.418195Z [info     ] 2023-10-03 10:32:24,417 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "http_request_duration", "value": 0.384537, "tags": {"stream": "commits", "endpoint": "/repos/{org}/{repo}/commits", "http_status_code": 200, "status": "succeeded", "context": {"org": "CorrelAid", "repo": "correlaid_website", "repo_id": 579987199}}} cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:24.851349Z [info     ] 2023-10-03 10:32:24,850 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "http_request_duration", "value": 0.389926, "tags": {"stream": "commits", "endpoint": "/repos/{org}/{repo}/commits", "http_status_code": 200, "status": "succeeded", "context": {"org": "CorrelAid", "repo": "correlaid_website", "repo_id": 579987199}}} cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:25.155867Z [info     ] 2023-10-03 10:32:25,155 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "http_request_duration", "value": 0.257033, "tags": {"stream": "commits", "endpoint": "/repos/{org}/{repo}/commits", "http_status_code": 200, "status": "succeeded", "context": {"org": "CorrelAid", "repo": "correlaid_website", "repo_id": 579987199}}} cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
2023-10-03T17:32:25.185269Z [info     ] 2023-10-03 10:32:25,184 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "http_request_count", "value": 8, "tags": {"stream": "commits", "endpoint": "/repos/{org}/{repo}/commits", "context": {"org": "CorrelAid", "repo": "correlaid_website", "repo_id": 579987199}}} cmd_type=elb consumer=False name=tap-github producer=True stdio=stderr string_id=tap-github
